id_unidade,codigo,nome_unidade,sigla,municipio,id_unidade_gestora,unidade_gestora,id_unidade_responsavel,unidade_responsavel,hierarquia,data_criacao,classificacao_unidade,nivel_organizacional,ambiente_organizacional_unidade,tipo_unidade_organizacional,area_atuacao_unidade
2877,160147,ADMINISTRACAO DO NEPSA I - CCSA,NEPSA-I/ADM,NATAL,443,CENTRO DE CIENCIAS SOCIAIS APLICADAS,156,DIRECAO DO CCSA,.443.156.2877.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,"CIÊNCIAS HUMANAS, JURÍDICAS E ECONÔMICAS          ",NÚCLEO                                                      ,FIM
8349,160035,ADMINISTRACAO DO NEPSA II - CCSA,NEPSA-2/ADM,NATAL,443,CENTRO DE CIENCIAS SOCIAIS APLICADAS,443,CENTRO DE CIENCIAS SOCIAIS APLICADAS,.443.8349.,06/03/2014,ADMINISTRATIVA,GERENCIAL,ADMINISTRATIVO                                    ,SETOR                                                       ,FIM
4524,112412,AGENCIA DE INOVACAO - AGIR,AGIR/UFRN,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,4659,REITORIA,.605.4659.4524.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,AGÊNCIA                                                     ,FIM
89,1402,ALMOXARIFADO,ALMOX/CT,NATAL,445,CENTRO DE TECNOLOGIA,445,CENTRO DE TECNOLOGIA,.445.89.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
2482,1640,ALMOXARIFADO - CCSA,ALMO/CCSA,NATAL,443,CENTRO DE CIENCIAS SOCIAIS APLICADAS,443,CENTRO DE CIENCIAS SOCIAIS APLICADAS,.443.2482.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
4226,201206,ALMOXARIFADO CENTRAL/MEJC,almx,NATAL,447,MATERNIDADE ESCOLA JANUARIO CICCO,286,DIRETORIA ADMINISTRATIVA - MEJC,.605.447.286.4226.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,FIM
4570,180402,ALMOXARIFADO - CERES CAICO,ALMOXARIFADO,CAICÓ,1482,CENTRO DE  ENSINO SUPERIOR DO SERIDO,61,ADMINISTRACAO DO CERES - CAICO,.1482.61.4570.,29/06/2007,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
8864,11322908,ALMOXARIFADO DA ESCOLA MULTICAMPI,ALM/MED/MULTIC,CAICÓ,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,7278,ESCOLA MULTICAMPI DE CIENCIAS MEDICAS DO RIO GRANDE DO NORTE,.605.262.7278.8864.,01/01/2013,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
2448,1245,ALMOXARIFADO DO CCET,ALMOX/CCET,NATAL,439,CENTRO DE CIENCIAS EXATAS E DA TERRA,439,CENTRO DE CIENCIAS EXATAS E DA TERRA,.439.2448.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
4107,181408,ALMOXARIFADO DO CERES - CURRAIS NOVOS,ALMO,CURRAIS NOVOS,1482,CENTRO DE  ENSINO SUPERIOR DO SERIDO,236,CERES - DEPTO CIENCIAS SOCIAIS E HUMANAS,.1482.236.4107.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
8188,151939,ALMOXARIFADO/DOD,ALMOXARIF/DOD,NATAL,441,CENTRO DE CIENCIAS DA SAUDE,195,DEPARTAMENTO DE ODONTOLOGIA,.441.195.8188.,02/01/2014,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,FIM
2476,1738,ALMOXARIFADO E PATRIMONIO,CB/ALM,NATAL,440,CENTRO DE BIOCIENCIAS,440,CENTRO DE BIOCIENCIAS,.440.2476.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
3665,22320901,ALMOXARIFADO/HOSPED,ALMX/HOSPED,NATAL,1424,HOSPED - HOSPITAL DE PEDIATRIA,3660,SETOR DE MATERIAL E PATRIMONIO/HOSPED,.1424.3640.3654.3660.3665.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
8186,12880003,ALMOXARIFADO/INSTITUTO DE QUIMICA,ALMOXARIFADO,NATAL,439,CENTRO DE CIENCIAS EXATAS E DA TERRA,6025,INSTITUTO DE QUIMICA,.439.6025.8186.,02/01/2014,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,FIM
3447,11210403,ALMOXARIFADO/SANTA CRUZ,ALMOX,NOVA CRUZ,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,3444,DIRECAO/SANTA CRUZ,.605.1450.3418.3425.3443.3444.3447.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
2746,2047,AMBULATORIO - MEJC,AMBUL/MEJC,NATAL,447,MATERNIDADE ESCOLA JANUARIO CICCO,447,MATERNIDADE ESCOLA JANUARIO CICCO,.605.447.2746.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,CIÊNCIAS DA SAÚDE                                 ,ASSESSORIA                                                  ,FIM
11451,3147,AMBULATORIO - MEJC,AMBUL/MEJC,NATAL,8194,SUPERINTENDENCIA DO MEJC - EBSERH,8194,SUPERINTENDENCIA DO MEJC - EBSERH,.8517.8194.11451.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,CIÊNCIAS DA SAÚDE                                 ,ASSESSORIA                                                  ,FIM
4331,151913,ANATOMIA E ESCULTURA DENTARIA,AED,NATAL,441,CENTRO DE CIENCIAS DA SAUDE,195,DEPARTAMENTO DE ODONTOLOGIA,.441.195.4331.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,CIÊNCIAS DA SAÚDE                                 ,SETOR                                                       ,FIM
6440,131324,ANFITEATRO/DEART,ANFITE,NATAL,442,"CENTRO DE CIENCIAS HUMANAS, LETRAS E ARTES",139,DEPARTAMENTO DE ARTES,.442.139.6440.,18/11/2011,ADMINISTRATIVA,OPERACIONAL,"ARTES, COMUNICAÇÃO E DIFUSÃO                      ",SETOR                                                       ,FIM
3448,11210404,APOIO ACADEMICO,AACAD,NOVA CRUZ,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,3444,DIRECAO/SANTA CRUZ,.605.1450.3418.3425.3443.3444.3448.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
4199,201303,APOIO TECNICO,at,NATAL,447,MATERNIDADE ESCOLA JANUARIO CICCO,2713,DIRETORIA CLINICA/TECNICA - MEJC,.605.447.2713.4199.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
3363,143112,ARQUIVO DO CT,ARQ,NATAL,445,CENTRO DE TECNOLOGIA,87,DIRECAO DO CENTRO DE TECNOLOGIA,.445.87.3363.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,INFORMAÇÃO                                        ,SETOR                                                       ,MEIO
8189,151940,ARQUIVO/DOD,ARQ/DOD,NATAL,441,CENTRO DE CIENCIAS DA SAUDE,195,DEPARTAMENTO DE ODONTOLOGIA,.441.195.8189.,02/01/2014,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,FIM
4541,141703,ASFALTO,asf,NATAL,445,CENTRO DE TECNOLOGIA,52,DEPARTAMENTO DE ENGENHARIA CIVIL,.445.52.4541.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,CIÊNCIAS EXATAS E DA NATUREZA                     ,SETOR                                                       ,FIM
3381,170104,ASSESSORIA ACADEMICA-CB,ASSACADEM,NATAL,440,CENTRO DE BIOCIENCIAS,176,ADMINISTRACAO DO CB,.440.176.3381.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
10541,190106,ASSESSORIA ACADEMICA - CENTRO DE EDUCACAO,ASCAD/CE,NATAL,5965,CENTRO DE EDUCACAO,5966,ADMINISTRACAO DO CENTRO DE EDUCACAO,.5965.5966.10541.,20/02/2017,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
8351,10320013,ASSESSORIA ACADEMICA DA DIRETORIA ACADEMICA DA FACISA,ASSE-ACAD-DIRACAD,SANTA CRUZ,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,4890,FACULDADE DE CIENCIAS DA SAUDE DO TRAIRI - FACISA,.605.4890.8351.,06/03/2014,ADMINISTRATIVA,GERENCIAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
3360,143109,ASSESSORIA ACADEMICA DO CT,AACT,NATAL,445,CENTRO DE TECNOLOGIA,87,DIRECAO DO CENTRO DE TECNOLOGIA,.445.87.3360.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,MEIO
2451,1248,ASSESSORIA ADMINISTRATIVA,ASSESS/CCET,NATAL,439,CENTRO DE CIENCIAS EXATAS E DA TERRA,439,CENTRO DE CIENCIAS EXATAS E DA TERRA,.439.2451.,24/06/1974,ADMINISTRATIVA,TÁTICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,MEIO
3362,143111,ASSESSORIA ADMINISTRATIVA (AS/CT),AS,NATAL,445,CENTRO DE TECNOLOGIA,87,DIRECAO DO CENTRO DE TECNOLOGIA,.445.87.3362.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,MEIO
3298,170103,ASSESSORIA ADMINISTRATIVA - CB,ASS,NATAL,440,CENTRO DE BIOCIENCIAS,176,ADMINISTRACAO DO CB,.440.176.3298.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,CENTRO                                                      ,MEIO
3278,158201,ASSESSORIA ADMINISTRATIVA/CCS,ASSEADM,NATAL,441,CENTRO DE CIENCIAS DA SAUDE,3277,DIRECAO DO CCS,.441.3277.3278.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,CIÊNCIAS DA SAÚDE                                 ,ASSESSORIA                                                  ,MEIO
1840,130110,ASSESSORIA ADMINISTRATIVA DO CCHLA,ASSESSORIA,NATAL,442,"CENTRO DE CIENCIAS HUMANAS, LETRAS E ARTES",135,DIRECAO DO CCHLA,.442.135.1840.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,CENTRO                                                      ,MEIO
3301,1821,ASSESSORIA ADMINISTRATIVA DO CERES,ASSCERES,CAICÓ,1482,CENTRO DE  ENSINO SUPERIOR DO SERIDO,1482,CENTRO DE  ENSINO SUPERIOR DO SERIDO,.1482.3301.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,CENTRO                                                      ,MEIO
11093,10890402,ASSESSORIA ADMINISTRATIVA - ICE,AADM/ICE,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,11090,DIRETORIA DO INSTITUTO DO CEREBRO,.605.6026.11090.11093.,13/10/2017,ADMINISTRATIVA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
11313,112408,ASSESSORIA DE ACOMPANHAMENTO DAS ACOES DOS HOSPITAIS UNIVERSITARIOS,AÇÕES/HUs,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,4659,REITORIA,.605.4659.11313.,16/03/2018,COMPLEXO HOSPITALAR,GERENCIAL,CIÊNCIAS DA SAÚDE                                 ,ASSESSORIA                                                  ,FIM
8350,160036,ASSESSORIA DE COMUNICACAO - CCSA,ASSCOM/CCSA,NATAL,443,CENTRO DE CIENCIAS SOCIAIS APLICADAS,443,CENTRO DE CIENCIAS SOCIAIS APLICADAS,.443.8350.,06/03/2014,ADMINISTRATIVA,GERENCIAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
3361,143110,ASSESSORIA DE COMUNICACAO E EDITORACAO,AIE,NATAL,445,CENTRO DE TECNOLOGIA,87,DIRECAO DO CENTRO DE TECNOLOGIA,.445.87.3361.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,MEIO
11094,10890403,ASSESSORIA DE COMUNICACAO E EVENTOS - ICE,ASCOM/ICE,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,11090,DIRETORIA DO INSTITUTO DO CEREBRO,.605.6026.11090.11094.,13/10/2017,ADMINISTRATIVA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
11063,112403,ASSESSORIA DE COMUNICACAO - REITORIA,ASCOM/REITORIA,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,4659,REITORIA,.605.4659.11063.,14/08/2017,ADMINISTRATIVA,GERENCIAL,INFORMAÇÃO                                        ,ASSESSORIA                                                  ,FIM
11104,143119,ASSESSORIA DE INFRAESTRUTURA - CT,INFRA/CT,NATAL,445,CENTRO DE TECNOLOGIA,87,DIRECAO DO CENTRO DE TECNOLOGIA,.445.87.11104.,18/10/2017,ADMINISTRATIVA,GERENCIAL,INFRA ESTRUTURA                                   ,ASSESSORIA                                                  ,FIM
3382,170105,ASSESSORIA DE PLANEJAMENTO E GESTAO,ASSEPLAN,NATAL,440,CENTRO DE BIOCIENCIAS,176,ADMINISTRACAO DO CB,.440.176.3382.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,"ARTES, COMUNICAÇÃO E DIFUSÃO                      ",ASSESSORIA                                                  ,FIM
7758,190104,ASSESSORIA DE PLANEJAMENTO E ORCAMENTO,ASSPLANO/CE,NATAL,5965,CENTRO DE EDUCACAO,5966,ADMINISTRACAO DO CENTRO DE EDUCACAO,.5965.5966.7758.,20/02/2017,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
11103,143118,ASSESSORIA DE POLITICA ACADEMICA,APA/CT,NATAL,445,CENTRO DE TECNOLOGIA,87,DIRECAO DO CENTRO DE TECNOLOGIA,.445.87.11103.,18/10/2017,ADMINISTRATIVA,GERENCIAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
11105,143120,ASSESSORIA DE PROJETOS E EMPREENDEDORISMO - CT,APE/CT,NATAL,445,CENTRO DE TECNOLOGIA,87,DIRECAO DO CENTRO DE TECNOLOGIA,.445.87.11105.,18/10/2017,ADMINISTRATIVA,GERENCIAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
8172,160026,ASSESSORIA DE QUALIDADE DE VIDA - QUALIVITA CCSA,Qualivita/CCSA,NATAL,443,CENTRO DE CIENCIAS SOCIAIS APLICADAS,443,CENTRO DE CIENCIAS SOCIAIS APLICADAS,.443.8172.,18/12/2013,ADMINISTRATIVA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
6423,131307,ASSESSORIA DO DEART,ASSESSOR,NATAL,442,"CENTRO DE CIENCIAS HUMANAS, LETRAS E ARTES",139,DEPARTAMENTO DE ARTES,.442.139.6423.,18/11/2011,ADMINISTRATIVA,GERENCIAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
260,1005,ASSESSORIA JURIDICA,ASS/JUR,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,.605.260.,24/06/1974,ADMINISTRATIVA,TÁTICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,MEIO
6878,113227,ASSESSORIA PARA GESTAO DOS HOSPITAIS UNIVERSITARIOS,ASS/GHU,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,262,GABINETE DO REITOR,.605.262.6878.,01/01/2000,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
11314,112409,ASSESSORIAS ESPECIAIS,ASS/ESPECIAIS,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,4659,REITORIA,.605.4659.11314.,19/03/2018,ADMINISTRATIVA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
3960,11260102,ASSESSORIA TECNICA,ASTEC/MCC,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,3958,DIRETORIA DO MUSEU CAMARA CASCUDO ,.605.290.3958.3960.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,MEIO
10534,11320103,ASSESSORIA TECNICA - AUDITORIA,ASSTEC/AUDIT,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,263,AUDITORIA INTERNA,.605.262.263.10534.,20/01/2017,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
6050,160002,ASSESSORIA TECNICA - CCSA,ASS/TEC/CCSA,NATAL,443,CENTRO DE CIENCIAS SOCIAIS APLICADAS,443,CENTRO DE CIENCIAS SOCIAIS APLICADAS,.443.6050.,29/04/2013,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
4653,112810,ASSESSORIA TECNICA - COMUNICA,ASTEC,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,19,SUPERINTENDENCIA DE COMUNICACAO,.605.19.4653.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,INFORMAÇÃO                                        ,ASSESSORIA                                                  ,MEIO
8352,10320014,ASSESSORIA TECNICA DA FACISA,ASTEC-FACISA,SANTA CRUZ,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,4890,FACULDADE DE CIENCIAS DA SAUDE DO TRAIRI - FACISA,.605.4890.8352.,06/03/2014,ADMINISTRATIVA,GERENCIAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
8818,11650001,ASSESSORIA TECNICA DE ANALISE DE PROCESSOS,ASSTEC/APROC,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,1421,PRO-REITORIA DE GESTAO DE PESSOAS,.605.1421.8818.,26/06/2014,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,MEIO
8819,11650002,ASSESSORIA TECNICA DE PROJETOS,ASTEC/PROJETOS,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,1421,PRO-REITORIA DE GESTAO DE PESSOAS,.605.1421.8819.,26/06/2014,ADMINISTRATIVA,GERENCIAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
10909,10040007,ASSESSORIA TECNICA - NAC,ASSTEC/NAC,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,291,NUCLEO DE ARTE E CULTURA,.605.291.10909.,01/07/2017,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
7202,115718,ASSESSORIA TECNICA/SEDIS,ASTSED,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,1480,SECRETARIA DE EDUCACAO A DISTANCIA,.605.1480.7202.,31/10/2012,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
11106,11240601,ASSESSORIA TECNICA - SGP,ASTEC/SGP,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,10044,SECRETARIA DE GESTAO DE PROJETOS,.605.4659.10044.11106.,19/10/2017,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
10828,113516,ASSESSORIA TECNICA - SINFO,ASSTEC/SINFO,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,2,SUPERINTENDENCIA DE INFORMATICA - SINFO,.605.2.10828.,30/08/2017,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
8367,190105,ASSESSORIA TECNICO-CIENTIFICA - CENTRO DE EDUCACAO,ASSTECIENT,NATAL,5965,CENTRO DE EDUCACAO,5966,ADMINISTRACAO DO CENTRO DE EDUCACAO,.5965.5966.8367.,07/03/2014,ACADÊMICA,GERENCIAL,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
4536,141505,ATELIE DE PROJETO DE ARQUITETURA E URBANISMO,APARTURB,NATAL,445,CENTRO DE TECNOLOGIA,54,DEPARTAMENTO DE ARQUITETURA,.445.54.4536.,24/06/1974,ACADÊMICA,OPERACIONAL,CIÊNCIAS EXATAS E DA NATUREZA                     ,SETOR                                                       ,FIM
8356,210002,ATENCAO A CRIANCA E AO ADOLESCENTE,CRIADOLESCENTE,NATAL,446,HOSPITAL UNIVERSITARIO ONOFRE LOPES,446,HOSPITAL UNIVERSITARIO ONOFRE LOPES,.605.446.8356.,06/03/2014,ACADÊMICA,OPERACIONAL,ADMINISTRATIVO                                    ,SETOR                                                       ,FIM
263,113201,AUDITORIA INTERNA,AUDIN/UFRN,NATAL,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,262,GABINETE DO REITOR,.605.262.263.,29/05/1999,ADMINISTRATIVA,TÁTICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,MEIO
4293,211009,AUDITORIA MEDICA,AM,NATAL,446,HOSPITAL UNIVERSITARIO ONOFRE LOPES,392,HUOL - DIRETORIA MEDICA,.605.446.392.4293.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,CIÊNCIAS DA SAÚDE                                 ,SETOR                                                       ,FIM
15536,321009,AUDITORIA MEDICA,AM,NATAL,8193,SUPERINTENDENCIA DO HUOL - EBSERH,392,HUOL - DIRETORIA MEDICA,.605.446.392.15536.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,CIÊNCIAS DA SAÚDE                                 ,SETOR                                                       ,FIM
8782,141833,AUTOMACAO HOSPITALAR E BIOENGENHARIA,AUTHOBIO,NATAL,445,CENTRO DE TECNOLOGIA,56,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,.445.56.8782.,18/06/2014,ACADÊMICA,OPERACIONAL,CIÊNCIAS EXATAS E DA NATUREZA                     ,LABORATÓRIO                                                 ,FIM
2740,2041,BANCO DE LEITE/ALEITAMENTO MATERNO - MEJC,BLAM/MEJC,NATAL,447,MATERNIDADE ESCOLA JANUARIO CICCO,447,MATERNIDADE ESCOLA JANUARIO CICCO,.605.447.2740.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,CIÊNCIAS DA SAÚDE                                 ,ASSESSORIA                                                  ,FIM
11097,3141,BANCO DE LEITE/ALEITAMENTO MATERNO - MEJC,BLAM/MEJC,NATAL,8194,SUPERINTENDENCIA DO MEJC - EBSERH,8194,SUPERINTENDENCIA DO MEJC - EBSERH,.8517.8194.11097.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,CIÊNCIAS DA SAÚDE                                 ,ASSESSORIA                                                  ,FIM
10682,3110020102,BANCO DE LEITE - MEJC,BANCO/LEITE,NATAL,8194,SUPERINTENDENCIA DO MEJC - EBSERH,9864,UNIDADE MATERNO INFANTIL - MEJC/EBSERH,.8517.8194.9861.9863.9864.10682.,01/04/2017,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
