numero,ano,id_unidade_requisitante,nome_unidade_requisitante,id_unidade_custo,nome_unidade_custo,data_cadastro,valor,numero_alunos_beneficiados,status
172,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-07-23,800.0,1,FINALIZADA
171,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-07-23,800.0,1,FINALIZADA
170,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-07-22,600.0,1,LIQUIDADA
169,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-07-16,150.0,1,FINALIZADA
168,2020,255,PPG - SECRETARIA ADMINISTRATIVA,1483,PRÓ-REITORIA DE PÓS GRADUAÇÃO,2020-07-15,2500.0,1,FINALIZADA
167,2020,73,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-07-15,300.0,1,FINALIZADA
166,2020,102,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-07-14,972.17,1,FINALIZADA
165,2020,102,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-07-14,583.85,1,FINALIZADA
164,2020,102,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO,102,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO,2020-07-14,583.85,1,ESTORNADA
163,2020,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,2020-07-14,320.0,1,A_EMPENHAR
162,2020,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,2020-07-14,320.0,1,A_EMPENHAR
161,2020,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,2020-07-14,320.0,1,A_EMPENHAR
160,2020,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,2020-07-14,320.0,1,A_EMPENHAR
159,2020,255,PPG - SECRETARIA ADMINISTRATIVA,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-08-07,490.0,1,FINALIZADA
158,2020,4847,PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA EM MEDICAMENTOS,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-06-07,4000.0,1,LIQUIDADA
157,2020,102,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-06-07,591.89,1,LIQUIDADA
156,2020,102,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO,9205,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO - FPG,2020-01-07,607.2,1,FINALIZADA
155,2020,9201,PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FLORESTAIS - FPG,9201,PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FLORESTAIS - FPG,2020-06-29,360.0,3,ESTORNADA
154,2020,9201,PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FLORESTAIS - FPG,9201,PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FLORESTAIS - FPG,2020-06-29,120.0,1,ESTORNADA
153,2020,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,2020-06-29,320.0,1,A_EMPENHAR
152,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-06-27,150.0,1,FINALIZADA
151,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-06-26,200.0,1,FINALIZADA
150,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4890,FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA,2020-06-26,300.0,1,A_EMPENHAR
149,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),2020-06-26,300.0,1,ESTORNADA
148,2020,73,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO,9269,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG,2020-06-26,230.0,1,LIQUIDADA
147,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),2020-06-25,200.0,1,ESTORNADA
146,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),2020-06-24,300.0,1,ESTORNADA
145,2020,73,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO,9269,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG,2020-06-23,888.56,1,FINALIZADA
144,2020,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,2020-06-22,320.0,1,A_EMPENHAR
143,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),2020-06-16,300.0,1,ESTORNADA
142,2020,102,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO,9205,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO - FPG,2020-08-06,405.0,1,LIQUIDADA
141,2020,73,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO,9269,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG,2020-08-06,900.0,1,FINALIZADA
140,2020,73,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO,9269,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG,2020-07-06,900.0,1,FINALIZADA
139,2020,1483,PRÓ-REITORIA DE PÓS GRADUAÇÃO,1483,PRÓ-REITORIA DE PÓS GRADUAÇÃO,2020-05-22,500.0,1,FINALIZADA
138,2020,103,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO,9232,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO - FPG,2020-12-05,1469.7,1,FINALIZADA
137,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-11-05,1100.0,1,FINALIZADA
136,2020,103,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO,9232,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO - FPG,2020-05-05,1149.5,1,EM_LIQUIDACAO
135,2020,9269,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG,9269,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG,2020-04-05,2000.0,1,FINALIZADA
134,2020,103,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO,9232,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO - FPG,2020-04-30,1485.0,1,FINALIZADA
133,2020,103,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO,9232,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO - FPG,2020-04-29,1102.0,1,EM_LIQUIDACAO
132,2020,9269,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG,9269,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG,2020-04-29,2700.0,1,FINALIZADA
131,2020,103,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO,9232,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO - FPG,2020-04-27,424.5,1,FINALIZADA
130,2020,103,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO,103,PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO,2020-04-26,420.0,1,ESTORNADA
129,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-10-04,200.0,1,FINALIZADA
128,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-07-04,200.0,1,FINALIZADA
127,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-04,120.0,1,FINALIZADA
126,2020,9276,PROGRAMA REGIONAL DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE - PRODEMA - FPG,9276,PROGRAMA REGIONAL DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE - PRODEMA - FPG,2020-03-30,500.0,1,ESTORNADA
125,2020,95,COORDENAÇÃO DO CURSO ENGENHARIA DE MATERIAIS,4656,GESTÃO DE CONTRATOS,2020-03-27,1200.0,2,LIQUIDADA
124,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-26,200.0,1,FINALIZADA
123,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-26,600.0,1,FINALIZADA
122,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-26,200.0,1,FINALIZADA
121,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-24,80.0,1,FINALIZADA
120,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-24,200.0,1,FINALIZADA
119,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-24,100.0,1,FINALIZADA
118,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-24,200.0,1,FINALIZADA
117,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-23,100.0,1,FINALIZADA
116,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-22,200.0,1,FINALIZADA
115,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-22,200.0,1,FINALIZADA
114,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,200.0,1,FINALIZADA
113,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,1500.0,1,FINALIZADA
112,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,200.0,1,FINALIZADA
111,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,250.0,1,FINALIZADA
110,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,200.0,1,FINALIZADA
109,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,200.0,1,FINALIZADA
108,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,200.0,1,FINALIZADA
107,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,200.0,1,FINALIZADA
106,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,200.0,1,FINALIZADA
105,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,200.0,1,FINALIZADA
104,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,200.0,1,FINALIZADA
103,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,200.0,1,FINALIZADA
102,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-21,200.0,1,FINALIZADA
101,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-18,200.0,1,FINALIZADA
100,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-18,200.0,1,FINALIZADA
99,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-03-18,200.0,1,FINALIZADA
98,2020,4360,MQE - PROJETO AERODESIGN DA UFRN,4360,MQE - PROJETO AERODESIGN DA UFRN,2020-03-17,24999.9,5,ESTORNADA
97,2020,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,2020-03-16,400.0,4,CADASTRADA
96,2020,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,2020-03-16,400.0,4,CADASTRADA
95,2020,123,DEPARTAMENTO DE GEOLOGIA,123,DEPARTAMENTO DE GEOLOGIA,2020-03-16,320.0,1,A_EMPENHAR
94,2020,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,2020-03-16,360.0,3,CADASTRADA
93,2020,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,2020-03-16,480.0,4,CADASTRADA
92,2020,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,2020-03-16,480.0,4,CADASTRADA
91,2020,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,2020-03-16,300.0,3,CADASTRADA
90,2020,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,8067,SECRETARIA ADMINISTRATIVA DA DIRETORIA ADMINISTRATIVA DA FACISA,2020-03-16,360.0,3,CADASTRADA
89,2020,73,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO,73,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO,2020-03-13,2000.0,1,CADASTRADA
88,2020,3362,ASSESSORIA ADMINISTRATIVA (AS/CT),3362,ASSESSORIA ADMINISTRATIVA (AS/CT),2020-12-03,240.0,1,ENVIADA
87,2020,284,ESCOLA DE MÚSICA,284,ESCOLA DE MÚSICA,2020-12-03,800.0,1,CADASTRADA
86,2020,30020,AUXÍLIO PARA JOGOS UNIVERSITÁRIOS,30020,AUXÍLIO PARA JOGOS UNIVERSITÁRIOS,2020-11-03,34314.0,19,CADASTRADA
85,2020,123,DEPARTAMENTO DE GEOLOGIA,123,DEPARTAMENTO DE GEOLOGIA,2020-11-03,480.0,1,ENVIADA
84,2020,8710,COORDENAÇÃO DO CURSO DE MEDICINA MULTICAMPI,4656,GESTÃO DE CONTRATOS,2020-10-03,1049.92,1,EM_LIQUIDACAO
83,2020,8710,COORDENAÇÃO DO CURSO DE MEDICINA MULTICAMPI,4656,GESTÃO DE CONTRATOS,2020-10-03,1349.97,1,EM_LIQUIDACAO
82,2020,9205,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO - FPG,9205,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO - FPG,2020-10-03,50.0,1,ENVIADA
81,2020,9205,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO - FPG,9205,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO - FPG,2020-10-03,175.0,1,ENVIADA
80,2020,123,DEPARTAMENTO DE GEOLOGIA,4656,GESTÃO DE CONTRATOS,2020-09-03,2560.0,8,EM_LIQUIDACAO
79,2020,10133,PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DA REABILITAÇÃO - FPG,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-09-03,925.0,1,FINALIZADA
78,2020,404,PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO,404,PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO,2020-09-03,2400.0,1,ENVIADA
77,2020,404,PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO,404,PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO,2020-09-03,2400.0,1,ENVIADA
75,2020,6040,COORDENAÇÃO DO CURSO DE ENGENHARIA DE TELECOMUNICAÇÕES,4656,GESTÃO DE CONTRATOS,2020-09-03,80.0,1,A_EMPENHAR
74,2020,404,PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO,404,PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO,2020-09-03,2400.0,1,ENVIADA
73,2020,9247,PROGRAMA DE PÓS-GRADUAÇÃO EM GEODINÂMICA E GEOFÍSICA - FPG,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-09-03,600.0,1,FINALIZADA
72,2020,123,DEPARTAMENTO DE GEOLOGIA,4656,GESTÃO DE CONTRATOS,2020-09-03,3360.0,7,EM_LIQUIDACAO
71,2020,351,ESCOLA AGRÍCOLA DE JUNDIAÍ,4656,GESTÃO DE CONTRATOS,2020-06-03,800.0,1,LIQUIDADA
70,2020,4850,AUXÍLIO FINANCEIRO AO ESTUDANTE / CCHLA,4656,GESTÃO DE CONTRATOS,2020-05-03,800.0,1,FINALIZADA
69,2020,68,PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E ENGENHARIA DE MATERIAIS,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-05-03,1000.0,1,FINALIZADA
68,2020,9249,PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - GEOPROF - (CERES/CCHLA) - FPG,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-04-03,1500.0,8,LIQUIDADA
67,2020,5610,DEPARTAMENTO DE FONOAUDIOLOGIA,4656,GESTÃO DE CONTRATOS,2020-04-03,600.0,1,FINALIZADA
66,2020,9248,PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - FPG,9248,PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - FPG,2020-03-03,10000.0,2,CADASTRADA
65,2020,3362,ASSESSORIA ADMINISTRATIVA (AS/CT),1454,FUNDO DE PÓS-GRADUAÇÃO,2020-03-03,240.0,1,FINALIZADA
64,2020,5610,DEPARTAMENTO DE FONOAUDIOLOGIA,4656,GESTÃO DE CONTRATOS,2020-03-03,600.0,1,FINALIZADA
63,2020,5374,COORDENAÇÃO DO CURSO DE ENGENHARIA DE AQUICULTURA,4656,GESTÃO DE CONTRATOS,2020-02-03,240.0,1,FINALIZADA
62,2020,8710,COORDENAÇÃO DO CURSO DE MEDICINA MULTICAMPI,4656,GESTÃO DE CONTRATOS,2020-02-03,2430.0,3,EM_LIQUIDACAO
61,2020,8710,COORDENAÇÃO DO CURSO DE MEDICINA MULTICAMPI,4656,GESTÃO DE CONTRATOS,2020-02-03,900.0,6,A_EMPENHAR
60,2020,8710,COORDENAÇÃO DO CURSO DE MEDICINA MULTICAMPI,4656,GESTÃO DE CONTRATOS,2020-02-03,2000.0,10,LIQUIDADA
59,2020,4850,AUXÍLIO FINANCEIRO AO ESTUDANTE / CCHLA,4656,GESTÃO DE CONTRATOS,2020-02-03,800.0,1,FINALIZADA
58,2020,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,6366,SECRETARIA DOS CURSOS DE GRADUAÇÃO,2020-02-03,800.0,1,ENVIADA
57,2020,5211,PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS CLIMÁTICAS,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-02-03,1500.0,1,FINALIZADA
56,2020,4850,AUXÍLIO FINANCEIRO AO ESTUDANTE / CCHLA,4656,GESTÃO DE CONTRATOS,2020-02-03,600.0,1,FINALIZADA
55,2020,8710,COORDENAÇÃO DO CURSO DE MEDICINA MULTICAMPI,4656,GESTÃO DE CONTRATOS,2020-02-03,1600.0,8,A_EMPENHAR
54,2020,8710,COORDENAÇÃO DO CURSO DE MEDICINA MULTICAMPI,4656,GESTÃO DE CONTRATOS,2020-02-03,4025.25,5,EM_LIQUIDACAO
53,2020,5570,PROGRAMA DE PÓS-GRADUAÇÃO EM DEMOGRAFIA,1454,FUNDO DE PÓS-GRADUAÇÃO,2020-02-28,3000.0,1,A_EMPENHAR
52,2020,8710,COORDENAÇÃO DO CURSO DE MEDICINA MULTICAMPI,4656,GESTÃO DE CONTRATOS,2020-02-28,800.0,4,EM_LIQUIDACAO
