ano,id_unidade,natureza_despesa,valor,sigla
2002,205,EQUIP. MATERIAL PERMANENTE,2587.5,ES/UFRN
2002,205,MATERIAL DE CONSUMO,2235.94,ES/UFRN
2002,205,PASSAGENS,2693.08,ES/UFRN
2002,205,SERV. PESSOA JURÍDICA,3430.07,ES/UFRN
2002,284,AUX. FINANCEIRO ESTUDANTE,34060.0,EMUFRN
2002,284,DIÁRIAS,1465.06,EMUFRN
2002,284,EQUIP. MATERIAL PERMANENTE,33251.79,EMUFRN
2002,284,LOC. MÃO-DE-OBRA,12377.28,EMUFRN
2002,284,MATERIAL DE CONSUMO,9471.46,EMUFRN
2002,284,OBRIGAÇÕES CONTRIBUTIVAS,958.22,EMUFRN
2002,284,PASSAGENS,11259.67,EMUFRN
2002,284,SERV. PESSOA FÍSICA,4791.04,EMUFRN
2002,284,SERV. PESSOA JURÍDICA,55003.91,EMUFRN
2002,351,AUX. FINANCEIRO ESTUDANTE,15798.0,EAJ
2002,351,EQUIP. MATERIAL PERMANENTE,1404.4,EAJ
2002,351,LOC. MÃO-DE-OBRA,83986.26,EAJ
2002,351,MATERIAL DE CONSUMO,293060.77,EAJ
2002,351,OBRIGAÇÕES CONTRIBUTIVAS,132.4,EAJ
2002,351,PASSAGENS,12000.0,EAJ
2002,351,SERV. PESSOA FÍSICA,662.0,EAJ
2002,351,SERV. PESSOA JURÍDICA,180167.75,EAJ
2002,439,EQUIP. MATERIAL PERMANENTE,4164.8,CCET
2002,439,LOC. MÃO-DE-OBRA,2988.3,CCET
2002,439,OBRIGAÇÕES CONTRIBUTIVAS,66.67,CCET
2002,439,SERV. PESSOA FÍSICA,333.33,CCET
2002,439,SERV. PESSOA JURÍDICA,80.55,CCET
2002,440,EQUIP. MATERIAL PERMANENTE,293.54,CB
2002,440,MATERIAL DE CONSUMO,359.28,CB
2002,440,OBRIGAÇÕES CONTRIBUTIVAS,150.0,CB
2002,440,SERV. PESSOA FÍSICA,750.0,CB
2002,440,SERV. PESSOA JURÍDICA,10684.45,CB
2002,441,MATERIAL DE CONSUMO,42266.8,CCS
2002,441,SERV. PESSOA JURÍDICA,3263.04,CCS
2002,442,EQUIP. MATERIAL PERMANENTE,3478.0,CCHLA
2002,442,LOC. MÃO-DE-OBRA,2180.5,CCHLA
2002,442,MATERIAL DE CONSUMO,372.0,CCHLA
2002,442,SERV. PESSOA JURÍDICA,6647.04,CCHLA
2002,443,AUX. FINANCEIRO ESTUDANTE,250.0,CCSA
2002,443,LOC. MÃO-DE-OBRA,1937.6,CCSA
2002,443,SERV. PESSOA JURÍDICA,35766.45,CCSA
2002,445,AUX. FINANCEIRO ESTUDANTE,250.0,CT
2002,445,EQUIP. MATERIAL PERMANENTE,13461.32,CT
2002,445,OBRIGAÇÕES CONTRIBUTIVAS,160.0,CT
2002,445,SERV. PESSOA FÍSICA,1600.0,CT
2002,445,SERV. PESSOA JURÍDICA,480.0,CT
2002,1482,EQUIP. MATERIAL PERMANENTE,2920.0,CERES
2002,1482,SERV. PESSOA JURÍDICA,6935.12,CERES
2003,205,AUX. FINANCEIRO ESTUDANTE,4320.0,ES/UFRN
2003,205,DIÁRIAS,13407.17,ES/UFRN
2003,205,EQUIP. MATERIAL PERMANENTE,5488.4,ES/UFRN
2003,205,MATERIAL DE CONSUMO,459.6,ES/UFRN
2003,205,OBRAS E INSTALAÇÕES,29950.27,ES/UFRN
2003,205,OBRIGAÇÕES CONTRIBUTIVAS,1010.46,ES/UFRN
2003,205,PASSAGENS,7453.47,ES/UFRN
2003,205,SERV. PESSOA FÍSICA,2996.0,ES/UFRN
2003,205,SERV. PESSOA JURÍDICA,1724.07,ES/UFRN
2003,284,AUX. FINANCEIRO ESTUDANTE,44538.0,EMUFRN
2003,284,DIV.EXERCÍCIOS ANTERIORES,346.01,EMUFRN
2003,284,DIÁRIAS,29466.61,EMUFRN
2003,284,EQUIP. MATERIAL PERMANENTE,9028.0,EMUFRN
2003,284,LOC. MÃO-DE-OBRA,26016.51,EMUFRN
2003,284,MATERIAL DE CONSUMO,9695.78,EMUFRN
2003,284,OBRIGAÇÕES CONTRIBUTIVAS,2227.59,EMUFRN
2003,284,PASSAGENS,4000.0,EMUFRN
2003,284,SERV. PESSOA FÍSICA,7829.59,EMUFRN
2003,284,SERV. PESSOA JURÍDICA,31226.42,EMUFRN
2003,351,AUX. FINANCEIRO ESTUDANTE,15960.0,EAJ
2003,351,DIV.EXERCÍCIOS ANTERIORES,4606.21,EAJ
2003,351,DIÁRIAS,23615.53,EAJ
2003,351,EQUIP. MATERIAL PERMANENTE,24533.0,EAJ
2003,351,LOC. MÃO-DE-OBRA,167510.99,EAJ
2003,351,MATERIAL DE CONSUMO,264749.66,EAJ
2003,351,PASSAGENS,25100.0,EAJ
2003,351,SERV. PESSOA JURÍDICA,123951.82,EAJ
2003,439,MATERIAL DE CONSUMO,1617.0,CCET
2003,439,SERV. PESSOA JURÍDICA,3940.0,CCET
2003,440,OBRIGAÇÕES CONTRIBUTIVAS,1169.91,CB
2003,440,SERV. PESSOA FÍSICA,5849.65,CB
2003,440,SERV. PESSOA JURÍDICA,3006.47,CB
2003,441,SERV. PESSOA JURÍDICA,25575.33,CCS
2003,442,LOC. MÃO-DE-OBRA,1075.72,CCHLA
2003,442,SERV. PESSOA JURÍDICA,17735.09,CCHLA
2003,443,LOC. MÃO-DE-OBRA,5040.11,CCSA
2003,443,SERV. PESSOA JURÍDICA,776.0,CCSA
2003,445,LOC. MÃO-DE-OBRA,8640.2,CT
2003,445,SERV. PESSOA JURÍDICA,25145.34,CT
2003,1482,MATERIAL DE CONSUMO,219.6,CERES
2003,1482,SERV. PESSOA JURÍDICA,710.63,CERES
2004,205,AUX. FINANCEIRO ESTUDANTE,9217.0,ES/UFRN
2004,205,DIÁRIAS,4000.0,ES/UFRN
2004,205,EQUIP. MATERIAL PERMANENTE,9884.19,ES/UFRN
2004,205,MATERIAL DE CONSUMO,17773.2,ES/UFRN
2004,205,OBRAS E INSTALAÇÕES,24763.09,ES/UFRN
2004,205,OBRIGAÇÕES CONTRIBUTIVAS,2071.2,ES/UFRN
2004,205,PASSAGENS,6000.0,ES/UFRN
2004,205,SERV. PESSOA FÍSICA,10356.0,ES/UFRN
2004,205,SERV. PESSOA JURÍDICA,128186.99,ES/UFRN
2004,284,AUX. FINANCEIRO ESTUDANTE,32402.0,EMUFRN
2004,284,DIÁRIAS,19543.27,EMUFRN
2004,284,EQUIP. MATERIAL PERMANENTE,50971.16,EMUFRN
2004,284,LOC. MÃO-DE-OBRA,13951.85,EMUFRN
2004,284,MATERIAL DE CONSUMO,30164.34,EMUFRN
2004,284,OBRIGAÇÕES CONTRIBUTIVAS,2898.5,EMUFRN
2004,284,PASSAGENS,15176.09,EMUFRN
2004,284,SERV. PESSOA FÍSICA,14026.1,EMUFRN
2004,284,SERV. PESSOA JURÍDICA,182053.32,EMUFRN
2004,351,AUX. FINANCEIRO ESTUDANTE,38210.0,EAJ
2004,351,DIV.EXERCÍCIOS ANTERIORES,7653.53,EAJ
2004,351,DIÁRIAS,9000.0,EAJ
2004,351,EQUIP. MATERIAL PERMANENTE,94421.24,EAJ
2004,351,INDENIZAÇÕES E RESTITUIÇÕE,2276.39,EAJ
2004,351,LOC. MÃO-DE-OBRA,143918.16,EAJ
2004,351,MATERIAL DE CONSUMO,834600.34,EAJ
2004,351,PASSAGENS,11000.0,EAJ
2004,351,SERV. PESSOA JURÍDICA,250098.53,EAJ
2004,439,AUX. FINANCEIRO ESTUDANTE,21500.0,CCET
2004,439,DIÁRIAS,47500.0,CCET
2004,439,EQUIP. MATERIAL PERMANENTE,30604.06,CCET
2004,439,LOC. MÃO-DE-OBRA,120000.0,CCET
2004,439,MATERIAL DE CONSUMO,131694.95,CCET
2004,439,PASSAGENS,29750.0,CCET
2004,439,SERV. PESSOA FÍSICA,2000.0,CCET
2004,439,SERV. PESSOA JURÍDICA,392720.16,CCET
2004,440,AUX. FINANCEIRO ESTUDANTE,31680.0,CB
2004,440,DIÁRIAS,30750.0,CB
2004,440,EQUIP. MATERIAL PERMANENTE,3549.8,CB
2004,440,LOC. MÃO-DE-OBRA,88000.0,CB
2004,440,MATERIAL DE CONSUMO,158019.49,CB
2004,440,OBRIGAÇÕES CONTRIBUTIVAS,1600.0,CB
2004,440,PASSAGENS,35630.0,CB
2004,440,SERV. PESSOA FÍSICA,8000.0,CB
2004,440,SERV. PESSOA JURÍDICA,282357.43,CB
2004,441,DIÁRIAS,40000.0,CCS
2004,441,EQUIP. MATERIAL PERMANENTE,210.0,CCS
2004,441,LOC. MÃO-DE-OBRA,386742.72,CCS
2004,441,MATERIAL DE CONSUMO,261189.55,CCS
2004,441,OBRIGAÇÕES CONTRIBUTIVAS,1689.25,CCS
2004,441,PASSAGENS,60000.0,CCS
2004,441,SERV. PESSOA FÍSICA,6756.99,CCS
2004,441,SERV. PESSOA JURÍDICA,323809.04,CCS
2004,442,AUX. FINANCEIRO ESTUDANTE,41345.0,CCHLA
2004,442,DIÁRIAS,16804.0,CCHLA
2004,442,EQUIP. MATERIAL PERMANENTE,2996.0,CCHLA
2004,442,LOC. MÃO-DE-OBRA,113925.0,CCHLA
2004,442,MATERIAL DE CONSUMO,148221.57,CCHLA
2004,442,OBRIGAÇÕES CONTRIBUTIVAS,1600.0,CCHLA
2004,442,PASSAGENS,46380.0,CCHLA
2004,442,SERV. PESSOA FÍSICA,8000.0,CCHLA
2004,442,SERV. PESSOA JURÍDICA,179944.2,CCHLA
2004,443,AUX. FINANCEIRO ESTUDANTE,60000.0,CCSA
2004,443,DIÁRIAS,15000.0,CCSA
2004,443,EQUIP. MATERIAL PERMANENTE,20194.0,CCSA
2004,443,LOC. MÃO-DE-OBRA,140000.0,CCSA
2004,443,MATERIAL DE CONSUMO,127912.89,CCSA
2004,443,OBRIGAÇÕES CONTRIBUTIVAS,1000.0,CCSA
2004,443,PASSAGENS,25500.0,CCSA
2004,443,SERV. PESSOA FÍSICA,5000.0,CCSA
2004,443,SERV. PESSOA JURÍDICA,226535.0,CCSA
2004,445,AUX. FINANCEIRO ESTUDANTE,25000.0,CT
2004,445,DIÁRIAS,36750.0,CT
2004,445,EQUIP. MATERIAL PERMANENTE,12135.0,CT
2004,445,LOC. MÃO-DE-OBRA,150000.0,CT
2004,445,MATERIAL DE CONSUMO,224495.2,CT
2004,445,OBRIGAÇÕES CONTRIBUTIVAS,1000.0,CT
2004,445,PASSAGENS,40000.0,CT
2004,445,SERV. PESSOA FÍSICA,6135.0,CT
2004,445,SERV. PESSOA JURÍDICA,215000.0,CT
2004,1482,AUX. FINANCEIRO ESTUDANTE,8760.0,CERES
2004,1482,DIV.EXERCÍCIOS ANTERIORES,2041.0,CERES
2004,1482,DIÁRIAS,26000.0,CERES
2004,1482,LOC. MÃO-DE-OBRA,59100.0,CERES
2004,1482,MATERIAL DE CONSUMO,108574.14,CERES
2004,1482,PASSAGENS,22000.0,CERES
2004,1482,SERV. PESSOA FÍSICA,560.0,CERES
2004,1482,SERV. PESSOA JURÍDICA,94345.64,CERES
2005,205,AUX. FINANCEIRO ESTUDANTE,22970.0,ES/UFRN
2005,205,DIÁRIAS,19028.37,ES/UFRN
2005,205,EQUIP. MATERIAL PERMANENTE,126780.9,ES/UFRN
2005,205,MATERIAL DE CONSUMO,64473.95,ES/UFRN
2005,205,OBRAS E INSTALAÇÕES,24763.09,ES/UFRN
2005,205,OBRIGAÇÕES CONTRIBUTIVAS,2974.35,ES/UFRN
2005,205,PASSAGENS,16407.69,ES/UFRN
2005,205,SERV. PESSOA FÍSICA,18871.73,ES/UFRN
2005,205,SERV. PESSOA JURÍDICA,215500.3,ES/UFRN
2005,284,AUX. FINANCEIRO ESTUDANTE,48171.07,EMUFRN
2005,284,DIÁRIAS,15947.45,EMUFRN
2005,284,EQUIP. MATERIAL PERMANENTE,32248.0,EMUFRN
2005,284,LOC. MÃO-DE-OBRA,85083.47,EMUFRN
2005,284,MATERIAL DE CONSUMO,134615.43,EMUFRN
2005,284,OBRIGAÇÕES CONTRIBUTIVAS,4364.83,EMUFRN
2005,284,PASSAGENS,31884.32,EMUFRN
2005,284,SERV. PESSOA FÍSICA,25128.25,EMUFRN
2005,284,SERV. PESSOA JURÍDICA,339547.71,EMUFRN
2005,351,AUX. FINANCEIRO ESTUDANTE,106112.5,EAJ
2005,351,DIV.EXERCÍCIOS ANTERIORES,10840.85,EAJ
2005,351,DIÁRIAS,42258.88,EAJ
2005,351,EQUIP. MATERIAL PERMANENTE,61235.0,EAJ
2005,351,INDENIZAÇÕES E RESTITUIÇÕE,9107.16,EAJ
2005,351,LOC. MÃO-DE-OBRA,633061.42,EAJ
2005,351,MATERIAL DE CONSUMO,1043980.47,EAJ
2005,351,OBRIGAÇÕES CONTRIBUTIVAS,400.0,EAJ
2005,351,PASSAGENS,20429.82,EAJ
2005,351,SERV. PESSOA FÍSICA,2000.0,EAJ
2005,351,SERV. PESSOA JURÍDICA,970210.1,EAJ
2005,439,AUX. FINANCEIRO ESTUDANTE,48308.6,CCET
2005,439,CUSTEIO,422970.25,CCET
2005,439,DIÁRIAS,35150.0,CCET
2005,439,EQUIP. MATERIAL PERMANENTE,112347.58,CCET
2005,439,LOC. MÃO-DE-OBRA,114000.0,CCET
2005,439,MATERIAL DE CONSUMO,314389.01,CCET
2005,439,PASSAGENS,45850.0,CCET
2005,439,SERV. PESSOA FÍSICA,1920.0,CCET
2005,439,SERV. PESSOA JURÍDICA,807944.72,CCET
2005,440,AUX. FINANCEIRO ESTUDANTE,11150.0,CB
2005,440,DIÁRIAS,40386.0,CB
2005,440,EQUIP. MATERIAL PERMANENTE,19018.0,CB
2005,440,LOC. MÃO-DE-OBRA,88000.0,CB
2005,440,MATERIAL DE CONSUMO,310666.91,CB
2005,440,OBRIGAÇÕES CONTRIBUTIVAS,2086.0,CB
2005,440,PASSAGENS,87433.04,CB
2005,440,SERV. PESSOA FÍSICA,12992.5,CB
2005,440,SERV. PESSOA JURÍDICA,958417.44,CB
2005,441,AUX. FINANCEIRO ESTUDANTE,65062.5,CCS
2005,441,DIV.EXERCÍCIOS ANTERIORES,960.0,CCS
2005,441,DIÁRIAS,40000.0,CCS
2005,441,EQUIP. MATERIAL PERMANENTE,15672.4,CCS
2005,441,LOC. MÃO-DE-OBRA,403783.0,CCS
2005,441,MATERIAL DE CONSUMO,508841.91,CCS
2005,441,PASSAGENS,64460.0,CCS
2005,441,SERV. PESSOA JURÍDICA,576076.66,CCS
2005,442,AUX. FINANCEIRO ESTUDANTE,73070.0,CCHLA
2005,442,DIV.EXERCÍCIOS ANTERIORES,40741.94,CCHLA
2005,442,DIÁRIAS,32136.96,CCHLA
2005,442,EQUIP. MATERIAL PERMANENTE,61292.9,CCHLA
2005,442,LOC. MÃO-DE-OBRA,142108.99,CCHLA
2005,442,MATERIAL DE CONSUMO,229204.68,CCHLA
2005,442,OBRIGAÇÕES CONTRIBUTIVAS,2000.0,CCHLA
2005,442,PASSAGENS,43137.0,CCHLA
2005,442,SERV. PESSOA FÍSICA,14522.55,CCHLA
2005,442,SERV. PESSOA JURÍDICA,507007.34,CCHLA
2005,443,AUX. FINANCEIRO ESTUDANTE,63537.5,CCSA
2005,443,DIV.EXERCÍCIOS ANTERIORES,8839.5,CCSA
2005,443,DIÁRIAS,22507.42,CCSA
2005,443,EQUIP. MATERIAL PERMANENTE,7869.0,CCSA
2005,443,LOC. MÃO-DE-OBRA,175210.0,CCSA
2005,443,MATERIAL DE CONSUMO,167246.21,CCSA
2005,443,OBRIGAÇÕES CONTRIBUTIVAS,960.19,CCSA
2005,443,PASSAGENS,32934.16,CCSA
2005,443,SERV. PESSOA FÍSICA,5040.94,CCSA
2005,443,SERV. PESSOA JURÍDICA,715481.87,CCSA
2005,445,AUX. FINANCEIRO ESTUDANTE,44625.0,CT
2005,445,CUSTEIO,373043.37,CT
2005,445,DIV.EXERCÍCIOS ANTERIORES,8318.36,CT
2005,445,DIÁRIAS,45930.0,CT
2005,445,EQUIP. MATERIAL PERMANENTE,26940.5,CT
2005,445,LOC. MÃO-DE-OBRA,150000.0,CT
2005,445,MATERIAL DE CONSUMO,292977.59,CT
2005,445,OBRIGAÇÕES CONTRIBUTIVAS,3192.0,CT
2005,445,PASSAGENS,75613.98,CT
2005,445,SERV. PESSOA FÍSICA,24000.0,CT
2005,445,SERV. PESSOA JURÍDICA,672747.82,CT
2005,1482,AUX. FINANCEIRO ESTUDANTE,33777.5,CERES
2005,1482,DIV.EXERCÍCIOS ANTERIORES,7486.0,CERES
2005,1482,DIÁRIAS,35000.0,CERES
2005,1482,EQUIP. MATERIAL PERMANENTE,2625.0,CERES
2005,1482,LOC. MÃO-DE-OBRA,89000.0,CERES
2005,1482,MATERIAL DE CONSUMO,127369.96,CERES
2005,1482,PASSAGENS,36729.0,CERES
2005,1482,SERV. PESSOA FÍSICA,8200.0,CERES
2005,1482,SERV. PESSOA JURÍDICA,175407.27,CERES
2006,205,AUX. FINANCEIRO ESTUDANTE,35769.5,ES/UFRN
2006,205,DIÁRIAS,14000.0,ES/UFRN
2006,205,EQUIP. MATERIAL PERMANENTE,27693.55,ES/UFRN
2006,205,LOC. MÃO-DE-OBRA,33143.51,ES/UFRN
2006,205,MATERIAL DE CONSUMO,98097.62,ES/UFRN
2006,205,OBRIGAÇÕES PATRONAIS,1259.2,ES/UFRN
2006,205,PASSAGENS,29219.53,ES/UFRN
2006,205,SERV. PESSOA FÍSICA,23976.0,ES/UFRN
2006,205,SERV. PESSOA JURÍDICA,124093.6,ES/UFRN
2006,284,AUX. FINANCEIRO ESTUDANTE,93936.02,EMUFRN
2006,284,DIV.EXERCÍCIOS ANTERIORES,210.9,EMUFRN
2006,284,DIÁRIAS,14000.0,EMUFRN
2006,284,EQUIP. MATERIAL PERMANENTE,77965.81,EMUFRN
2006,284,LOC. MÃO-DE-OBRA,64888.39,EMUFRN
2006,284,MATERIAL DE CONSUMO,122175.79,EMUFRN
2006,284,OBRIGAÇÕES PATRONAIS,10994.1,EMUFRN
2006,284,PASSAGENS,38731.32,EMUFRN
2006,284,SERV. PESSOA FÍSICA,50215.35,EMUFRN
2006,284,SERV. PESSOA JURÍDICA,242177.88,EMUFRN
2006,351,AUX. FINANCEIRO ESTUDANTE,83404.68,EAJ
2006,351,DIÁRIAS,20946.66,EAJ
2006,351,EQUIP. MATERIAL PERMANENTE,137905.0,EAJ
2006,351,LOC. MÃO-DE-OBRA,443128.76,EAJ
2006,351,MATERIAL DE CONSUMO,1095569.98,EAJ
2006,351,OBRIGAÇÕES PATRONAIS,2977.0,EAJ
2006,351,PASSAGENS,35205.75,EAJ
2006,351,SERV. PESSOA FÍSICA,200.0,EAJ
2006,351,SERV. PESSOA JURÍDICA,843931.4,EAJ
2006,439,AUX. FINANCEIRO ESTUDANTE,36610.0,CCET
2006,439,CUSTEIO,1422545.88,CCET
2006,439,DIÁRIAS,1828.67,CCET
2006,439,EQUIP. MATERIAL PERMANENTE,120361.32,CCET
2006,439,LOC. MÃO-DE-OBRA,106375.69,CCET
2006,439,MATERIAL DE CONSUMO,44434.07,CCET
2006,439,PASSAGENS,17861.79,CCET
2006,439,SERV. PESSOA JURÍDICA,255693.86,CCET
2006,440,AUX. FINANCEIRO ESTUDANTE,28825.0,CB
2006,440,CUSTEIO,1019730.99,CB
2006,440,DIÁRIAS,58070.21,CB
2006,440,EQUIP. MATERIAL PERMANENTE,68922.36,CB
2006,440,LOC. MÃO-DE-OBRA,30650.16,CB
2006,440,MATERIAL DE CONSUMO,135927.23,CB
2006,440,PASSAGENS,52218.24,CB
2006,440,SERV. PESSOA JURÍDICA,405564.81,CB
2006,441,AUX. FINANCEIRO ESTUDANTE,53422.5,CCS
2006,441,CUSTEIO,1394243.48,CCS
2006,441,DIÁRIAS,23899.83,CCS
2006,441,EQUIP. MATERIAL PERMANENTE,477451.26,CCS
2006,441,INDENIZAÇÕES E RESTITUIÇÕE,12023.08,CCS
2006,441,LOC. MÃO-DE-OBRA,168861.42,CCS
2006,441,MATERIAL DE CONSUMO,219944.6,CCS
2006,441,OBRIGAÇÕES CONTRIBUTIVAS,1173.0,CCS
2006,441,OBRIGAÇÕES PATRONAIS,2660.0,CCS
2006,441,PASSAGENS,51854.54,CCS
2006,441,SERV. PESSOA FÍSICA,20338.06,CCS
2006,441,SERV. PESSOA JURÍDICA,338701.5,CCS
2006,442,AUX. FINANCEIRO ESTUDANTE,105565.0,CCHLA
2006,442,CUSTEIO,994579.34,CCHLA
2006,442,DIÁRIAS,3915.05,CCHLA
2006,442,EQUIP. MATERIAL PERMANENTE,177053.92,CCHLA
2006,442,LOC. MÃO-DE-OBRA,86856.69,CCHLA
2006,442,MATERIAL DE CONSUMO,49251.82,CCHLA
2006,442,PASSAGENS,12295.44,CCHLA
2006,442,SERV. PESSOA FÍSICA,3520.0,CCHLA
2006,442,SERV. PESSOA JURÍDICA,382717.07,CCHLA
2006,443,AUX. FINANCEIRO ESTUDANTE,19192.05,CCSA
2006,443,CUSTEIO,1174362.6,CCSA
2006,443,DIÁRIAS,2812.48,CCSA
2006,443,EQUIP. MATERIAL PERMANENTE,53138.0,CCSA
2006,443,LOC. MÃO-DE-OBRA,17520.89,CCSA
2006,443,MATERIAL DE CONSUMO,45146.78,CCSA
2006,443,PASSAGENS,3060.0,CCSA
2006,443,SERV. PESSOA FÍSICA,7180.0,CCSA
2006,443,SERV. PESSOA JURÍDICA,284335.14,CCSA
2006,445,AUX. FINANCEIRO ESTUDANTE,40922.5,CT
2006,445,CUSTEIO,2328810.17,CT
2006,445,DIÁRIAS,7577.82,CT
2006,445,EQUIP. MATERIAL PERMANENTE,299331.0,CT
2006,445,EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO,500.0,CT
2006,445,LOC. MÃO-DE-OBRA,14216.37,CT
2006,445,MATERIAL DE CONSUMO,118019.51,CT
2006,445,PASSAGENS,3543.0,CT
2006,445,SERV. PESSOA FÍSICA,1405.0,CT
2006,445,SERV. PESSOA JURÍDICA,383137.79,CT
2006,1482,AUX. FINANCEIRO ESTUDANTE,13350.0,CERES
2006,1482,CUSTEIO,199696.31,CERES
2006,1482,EQUIP. MATERIAL PERMANENTE,126280.0,CERES
2006,1482,LOC. MÃO-DE-OBRA,8812.98,CERES
2006,1482,MATERIAL DE CONSUMO,88717.86,CERES
2006,1482,SERV. PESSOA JURÍDICA,118511.51,CERES
2007,205,AUX. FINANCEIRO ESTUDANTE,21360.0,ES/UFRN
2007,205,CUSTEIO,273353.36,ES/UFRN
2007,205,DIV.EXERCÍCIOS ANTERIORES,165959.37,ES/UFRN
2007,205,DIÁRIAS,12356.02,ES/UFRN
2007,205,EQUIP. MATERIAL PERMANENTE,63217.0,ES/UFRN
2007,205,LOC. MÃO-DE-OBRA,28384.68,ES/UFRN
2007,205,MATERIAL DE CONSUMO,15170.5,ES/UFRN
2007,205,OBRIGAÇÕES PATRONAIS,2499.2,ES/UFRN
2007,205,PAGAMENTO DE CAPITAL,315.99,ES/UFRN
2007,205,PASSAGENS,19943.39,ES/UFRN
2007,205,SERV. PESSOA FÍSICA,13362.0,ES/UFRN
2007,205,SERV. PESSOA JURÍDICA,22592.98,ES/UFRN
2007,284,AUX. FINANCEIRO ESTUDANTE,70400.0,EMUFRN
2007,284,CUSTEIO,384956.18,EMUFRN
2007,284,DIV.EXERCÍCIOS ANTERIORES,57654.44,EMUFRN
2007,284,DIÁRIAS,8389.49,EMUFRN
2007,284,EQUIP. MATERIAL PERMANENTE,145009.16,EMUFRN
2007,284,LOC. MÃO-DE-OBRA,56644.18,EMUFRN
2007,284,MATERIAL DE CONSUMO,52474.6,EMUFRN
2007,284,OBRAS E INSTALAÇÕES,25427.0,EMUFRN
2007,284,OBRIGAÇÕES PATRONAIS,5439.45,EMUFRN
2007,284,PAGAMENTO DE CAPITAL,2604.75,EMUFRN
2007,284,PASSAGENS,26864.54,EMUFRN
2007,284,PERMANENTE /EXERCICIO ANTERIOR,141574.25,EMUFRN
